40.107.0.0/16
40.104.0.0/14
104.40.0.0/13
108.179.48.0/21
136.147.176.0/20
40.112.0.0/13
50.31.32.0/19
52.160.0.0/11
54.240.8.0/21
54.220.0.0/16
66.116.32.0/20
8.42.18.0/24
54.240.8.0/21
40.107.100.109
